,vol,title,body
2018-01-01,19226.749999999996,,
2018-01-02,27857.9,Austria sets 2018 FIT for PV systems up to 200 kW,"Owners of residential solar PV systems in Austria will receive €0.0791 per kWh for power surplus in 2018.

The Austrian government announced in late December that PV systems up to 200 kW installed under the FIT scheme will be entitled to receive a tariff of €0.0791 per kWh in 2018. It added that the FIT will drop to €0.0767 per kWh in 2019.

Overall, OeMAG, which is privately owned and entrusted with the public service obligation of buying all renewable electricity and selling it, has allocated around €8 million for the 2018 FIT program."
2018-01-02,27857.9,4NEW Limited: KWATT Coin - Tokenized Electricity,"- 2017 has been a record breaking, awe inspiring rollercoaster ride for cryptocurrency valuations with over 2000% valuation increases. With all the hype and global attention on Bitcoin and other cryptocurrencies, Initial Coin Offerings have attempted to tokenize just about everything in 2017. However, in this culture of tokenization, what everybody has failed to observe is that, with price spikes in crypto valuations comes energy spikes in transactions processing. 
As of September 30, 2017, 1 Bitcoin transaction could power 7.5 homes in the US for a day.  
As of December 31, 2017, 1 Bitcoin transaction could power 10.5 homes in the US for a day.  

 
This trend should cause severe alarm and provide us all with reason for concern. Furthermore, with a tidal wave of ICOs forthcoming this year all intending to take advantage of the hype and frenzy that is frothing within our community, the consumption of electricity to process all these transactions is only expected to rise exponentially. 
A proof-of-work (POW) system (or protocol, or function) is an economic measure to deter denial of service attacks and other service abuses such as spam on a network by requiring some work from the service requester, usually meaning processing time by a computer. 
On the contrary, Proof of Stake (PoS) concept states that a person can mine or validate block transactions according to how many coins he or she holds. This means that the more Bitcoin or altcoin owned by a miner, the more mining power he or she has. 
While we all look forward to proof of stake to evolve, nevertheless, the most sought after, pioneer proven currency remains Bitcoin, which continues to operate on a proof of work methodology. This is why the network is voraciously consuming electricity for the foreseeable future. 
This situation is extremely reminiscent of the heated debate experienced between our dependence on fossil fuel consumption versus our shift to renewable energy consumption as a civilization. This debate has been ongoing for over two decades now, and our dependence on fossil fuels is anticipated to continue for the foreseeable future similar to our dependence on proof of work. 
In lieu of this culminating impending crisis, one company has taken measures to solve this head on. 4NEW Limited, a UK based Waste to Energy treatment plant, launched its pre-sale in the fall of 2017. 4NEW successfully raised USD 30.5MM from US private equity funds in a conventional round of funding, achieving their soft cap requirement. Now with the funding for the plant secured, 4NEW has allocated all its electricity output into its coin, namely KWATT. The plant has a capacity of generating 300 million kilowatts per annum. With a total coin supply of 300 million, each KWATT Coin will be backed by 1 kilowatt of electricity. 
This electricity will be applied towards the mining of bitcoins and other cryptocurrencies. So while our blockchain network protocols take time to evolve into a more energy efficient network, we can have a sustainable mechanism via which cryptocurrencies can transact in an environmentally responsible fashion with zero impact to the climate as is the case with dependence on fossil fuel generated electricity. 
Furthermore, for the first time, we have a utility company solely dedicated to providing energy to blockchain networks; With the people holding the power to allocate this energy in their desired location via a voting structure only available to the KWATT coin holders. Needless to say, 4NEW has successfully tokenized electricity, the most sought after commodity for our civilization with applications not just within the crypto community but also mainstream utilization.   
Video Link:   
Telegram -   
Facebook -   
Twitter - https://twitter.com/4newcoin  
Instagram -   
LinkedIn -   
  
Contact: Saransh Sharma, +447384657730, [email protected]"
2018-01-03,35754.775,,
2018-01-04,27187.325,UMass scientists boost polymer-chain storage efficiency,"A team from the University of Massachusetts, Amherst (UMass) have developed a polymer based energy storage system, which releases energy on demand as heat. The scientists say that their system utilizes a polymer chain 'organized like a string of Christmas lights' and can achieve more than double the storage density of previous polymer based systems.

A new battery being developed by scientists at UMass could provide an alternative to lithium storage. The battery stores energy in chemical bonds, releasing it as heat rather than electricity.

According to research published in the journal Scientific Reports, the system developed was able to achieve an average storage density of 510 joules/gram, and a maximum of 690, compared with previous polymeric storage systems, whose density was in the range of 200 joules/gram.

""Theory says that we should be able to achieve 800 ..."
2018-01-04,27187.325,"New DEA CEO: ""Adapt and Adjust""","- Maria Moraeus Hanssen announces a time for change on her first day as CEO and Chairman of the Board of Management of DEA Deutsche Erdoel AG.   
""I am starting at DEA in a very interesting time for the company and for the business as a whole. My main task going forward will be to make sure that we continue to operate safely and deliver on business goals while we adapt to new conditions, in parallel with the talks between LetterOne and BASF to merge DEA and Wintershall,"" says Maria Moraeus Hanssen. 
     (Photo:  ) 
Moraeus Hanssen joins DEA at a time where both the company and the oil and gas industry are facing significant changes. The changing energy markets are leading to structural changes, and early in December DEA's owners LetterOne and BASF signed a Letter of Intent to merge DEA and Wintershall, creating a stronger Germany-based independent oil and gas company. Discussions towards a final agreement are ongoing. She underlines that the most important task for DEA is to continue running its production and projects in a way that creates value.

 
DEA's new CEO expresses her pride of being part of the oil and gas industry, but acknowledges that the industry faces changes: ""DEA's most important asset is the competency of our employees, that will be of great importance also in a merged company. Over the years, DEA's employees have shown an impressive ability to get the most out of the asset portfolio. By continuing and further developing these efforts, DEA will be able to adapt to a world with a more diversified energy market."" 
Moraeus Hanssen: ""It is not immoral to explore, develop and produce oil and gas. It is  many years, oil and gas will still be a prerequisite for keeping the society going. Oil and gas companies' biggest challenge is still not declining demand, but how to find more oil and gas to compensate for the natural decline from existing fields."" 
""We need to explore, develop and produce at lower costs, increased efficiency and with less impact on climate and environment. The oil and gas industry needs to take an active role in the ongoing energy transition. Digitalization and increased focus on technology throughout the business will be some of the levers to help us on this way,"" she says. 
Before joining DEA, Maria Moraeus Hanssen had been working as CEO of ENGIE EP International and Head of EP Business Unit in the ENGIE Group in Paris for the last two years. She looks back to a broad spectrum of jobs in management and operations in the Norwegian Oil and gas industry such as Investment Director, Aker ASA (2008 - 2013), Senior Vice President Gas Supply and Infrastructure, Statoil ASA (2007 - 2008), Vice President / Offshore Installation Manager, Hydro ASA (2006 - 2007) to name but a few. 
Moraeus Hanssen graduated in 'Petroleum Economics and Management' from IFP School - Ecole Nationale Supérieure du Pétrole et des Moteurs, Paris, in 1992 and holds a degree in 'Petroleum Engineering' from the Norwegian University of Science and Technology (NTNU), Trondheim, in 1989. 
Moraeus Hanssen is also the Deputy Chairman, and the leader of the Audit Committee, of the Supervisory Board of Yara International, a global leader in nitrogen-based fertilizer production. 
Contacts: 
Uwe-Stephan Lagies Head of Corporate Communications T: +49-40-6375-2511 M: +49-162-273-2511Frank Meyer Manager External Communications T: +49-40-6375-2759 M: +49-162-273-2559"
2018-01-04,27187.325,From the US editor: Renewable energy and information pollution,"A recent article in Bloomberg View illustrates clearly the mythology and misinformation that abounds regarding renewable energy, which in many cases is spread by the media.

After covering solar and other forms of renewable energy on a daily basis for nearly eight years, I have come to a deep appreciation of the work done by research institutions, including the United States government's network of national laboratories, as well as the many fine analysts working in various private firms and non-governmental organizations.

Through the collected work of so many and the actual experience of nations such as Denmark, Germany, Spain as well as individual U.S. states, we have come to learn a great deal about the integration of large amounts of solar, wind and other forms of renewable energy on grids, what the challenges are, and what we can expect in the future.

However, I am consistently disappointed that this information is not better represented in the press, including in some energy publications. In many cases, journalists and editors have chosen mythology over careful study and the flash of contrarian viewpoints - even if these are poorly supported or come from sources with a track record of misleading the public - over more credible assessments.

Most recently, I was greatly disappointed by Bloomberg View Columnist Tyler Cowen's op-ed which allegedly reviews Varun Sivaram's latest book but instead appears to be a collection of his own biases and preconceptions applied to a field of which he shows little understanding.

Since the article contained so many unsupported, misleading and inaccurate statements, I'm going to take them one by one.

Claim: ""There is now a doctrine of what I call ""solar triumphalism': the price of panels has been falling exponentially, the technology makes good practical sense, and only a few further nudges are needed for solar to become a major energy source. Unfortunately, this view seems to be wrong.""

Problem: While it depends on what you call ""major"", solar supplied around 2% of the electricity in the United States in 2017 (we are still awaiting final data), as well as more than 10% in California, Nevada and Hawaii in the first nine months of the year. As solar capacities have been doubling roughly every two years, you can expect much more in the future.

Claim: ""Solar energy could be a boon to mankind and the environment, but it's going to need a lot more support, and entrepreneurial and policy dynamism.""

Problem: Varan Sivaram does make such a claim in his work but, from what we have read, for significantly different reasons than the ones that Mr. Cowen references. Instead, Sivaram has addressed the problem of raising the trillions in capital that a full-scale global energy transition requires.

Claim: ""The first disquieting sign is that solar companies are spending only about 1% of their revenue on research and development, well below average for a potentially major industry. You might think that's because things are going so great, but some major solar users ..."
2018-01-04,27187.325,PV covered 1.6% of Portugal's power production in 2017,"Overall, renewables accounted for more than 40% of the country's electricity generation last year. Meanwhile, registered installed PV capacity has reached 478 MW.

All of the grid-connected PV systems installed in Portugal were able to cover around 1.7% of the country's power production in 2017, according to recent statistics released by the Portuguese grid and gas network operator, Redes Energéticas Nacionais, SGPS, S.A. (REN).

Overall, renewable energies generated enough electricity to cover 40% of power generation, including domestic demand and export.

Hydropower accounted for 11% of total demand, while wind comprised the lion's share of renewables, accounting for ..."
2018-01-05,27168.699999999997,,
2018-01-06,28003.199999999997,,
